age,anciennete_mois,montant_mensuel,nombre_services,appels_support,score_satisfaction,type_contrat,contrat_mensuel,contrat_un_an,contrat_deux_ans,churn
56,62,84.89963337584707,4,3,8,mensuel,1,0,0,0
69,58,61.74947743740201,2,1,8,mensuel,1,0,0,0
46,67,87.13980825957006,5,1,7,deux_ans,0,0,1,0
32,56,46.85479906477755,4,1,8,mensuel,1,0,0,0
60,40,43.323783000263276,2,1,2,mensuel,1,0,0,0
25,40,101.26682410491098,2,2,3,mensuel,1,0,0,0
38,33,76.82217227077086,4,0,9,un_an,0,1,0,0
56,6,92.93696403626656,4,2,1,mensuel,1,0,0,1
36,19,47.921205832246144,2,4,8,deux_ans,0,0,1,0
40,40,46.529492164625395,2,0,8,mensuel,1,0,0,0
28,59,57.827813610849155,2,2,7,mensuel,1,0,0,1
28,59,48.518823169219765,4,1,5,un_an,0,1,0,0
41,48,79.10730420456902,2,2,4,mensuel,1,0,0,0
70,41,49.97747886147109,1,1,10,un_an,0,1,0,0
53,13,41.56660283865419,4,2,10,mensuel,1,0,0,0
57,45,67.84030824510465,1,2,10,mensuel,1,0,0,0
41,53,39.200276483495735,3,0,10,mensuel,1,0,0,0
20,42,29.010721370492213,4,3,6,deux_ans,0,0,1,0
39,63,67.66514467722556,3,0,1,un_an,0,1,0,0
70,27,30.015599139795796,2,3,5,un_an,0,1,0,0
19,38,80.50558792590846,2,2,4,mensuel,1,0,0,0
41,60,37.09332547494408,5,1,4,un_an,0,1,0,0
61,7,20.186524271605045,2,5,7,mensuel,1,0,0,0
47,5,59.124066997184116,3,0,9,deux_ans,0,0,1,0
55,45,67.89189006592969,2,1,8,un_an,0,1,0,0
19,58,74.82950127363881,4,1,8,un_an,0,1,0,0
38,31,68.44031398031707,2,0,5,mensuel,1,0,0,0
50,23,43.81374757764515,5,1,6,mensuel,1,0,0,0
29,42,79.26122361853209,2,1,2,mensuel,1,0,0,0
39,10,84.20277012959492,3,1,3,deux_ans,0,0,1,0
61,32,40.88475743088922,3,2,5,mensuel,1,0,0,0
42,53,61.37987722680772,2,2,2,mensuel,1,0,0,0
66,30,59.51119945781961,3,1,3,mensuel,1,0,0,0
44,39,69.40763165576068,3,1,4,mensuel,1,0,0,0
59,31,60.901524164517824,5,2,6,mensuel,1,0,0,0
45,2,63.64244455854047,4,0,5,deux_ans,0,0,1,0
33,12,77.83631060483381,5,0,10,un_an,0,1,0,0
32,39,42.72293800797733,1,2,4,deux_ans,0,0,1,1
64,66,79.74746270521648,5,1,2,un_an,0,1,0,0
68,13,87.82265463062501,2,1,5,mensuel,1,0,0,0
61,46,97.68269986977737,4,1,5,mensuel,1,0,0,0
72,27,22.13265351725282,2,0,7,mensuel,1,0,0,0
69,17,61.34196685769564,1,0,1,deux_ans,0,0,1,0
74,60,25.69798851292822,4,2,4,mensuel,1,0,0,0
20,64,20.0,3,0,5,mensuel,1,0,0,0
54,35,67.88186095214957,5,0,8,mensuel,1,0,0,0
68,70,57.01696414299277,2,1,8,mensuel,1,0,0,0
24,30,70.99701903541492,1,3,1,mensuel,1,0,0,0
38,71,74.72255380174632,3,0,5,mensuel,1,0,0,0
26,63,89.95791916215842,5,3,10,un_an,0,1,0,0
56,28,66.0784085061156,3,3,1,un_an,0,1,0,0
35,60,123.46711234638175,5,2,1,mensuel,1,0,0,1
21,37,71.12819709970425,4,1,2,mensuel,1,0,0,0
42,22,101.84958089134423,3,1,2,deux_ans,0,0,1,0
31,68,20.0,3,2,9,mensuel,1,0,0,0
67,20,91.9947905910125,3,1,4,deux_ans,0,0,1,0
26,68,61.384790204088794,4,3,3,mensuel,1,0,0,0
43,64,26.03305481145457,1,1,1,un_an,0,1,0,0
70,17,73.41090218456239,5,1,2,un_an,0,1,0,0
19,12,58.94088924031365,3,1,6,un_an,0,1,0,0
37,22,76.60106496896285,4,3,9,deux_ans,0,0,1,0
45,17,85.22152915102157,1,2,5,mensuel,1,0,0,1
64,10,35.21699766476808,5,0,4,mensuel,1,0,0,0
24,65,85.29837964910315,4,3,5,mensuel,1,0,0,0
61,22,65.12958968441433,5,2,9,un_an,0,1,0,0
25,50,92.05682349386545,3,2,7,mensuel,1,0,0,0
64,14,60.897035420042634,1,3,8,un_an,0,1,0,1
52,64,55.59182214937158,4,2,4,mensuel,1,0,0,0
31,47,65.54108081377903,1,1,8,mensuel,1,0,0,0
34,29,67.03721412759707,3,3,6,un_an,0,1,0,0
53,36,51.74430397016529,1,3,5,mensuel,1,0,0,0
67,52,55.073905380894324,1,1,7,mensuel,1,0,0,0
57,7,40.46248930972421,2,3,6,mensuel,1,0,0,1
21,29,56.30709820419611,1,2,3,mensuel,1,0,0,0
19,11,78.52620119995157,5,2,5,un_an,0,1,0,0
23,33,62.25291652187712,4,2,9,un_an,0,1,0,0
71,6,85.18130592094657,2,2,7,mensuel,1,0,0,0
59,32,61.29141064693852,4,4,4,mensuel,1,0,0,0
21,51,36.369640045533714,4,1,7,mensuel,1,0,0,1
